,Fact,Note
0,"
        L'avenir se demande parfois ce que Chuck Norris lui réserve.
 ",9.36 / 10 
1,"
        Un jour Chuck Norris a eu un zero en latin, depuis c'est une langue morte.
 ",9.36 / 10 
2,"
        Chuck Norris ne sait pas à quoi ressemble Nicolas Sarkozy,  en effet Chuck Norris ne baisse jamais les yeux.
 ",9.32 / 10 
3,"
        Chuck Norris ne ment pas, c'est la vérité qui se trompe.
 ",9.26 / 10 
4,"
        Les samouraïs tuent des mouches avec leurs sabres...
Chuck Norris, lui, tue des samouraïs avec des mouches
 ",9.25 / 10 
5,"
        Cherchez l'intrus : Un rouge-gorge, un pigeon, un moineau et Chuck Norris.

Réponse : Un rouge-gorge, un pigeon et un moineau.
 ",9.24 / 10 
6,"
        Chuck Norris n'a pas de père. On ne nique pas la mère de Chuck Norris.
 ",9.24 / 10 
7,"
        Une seule Tortue Ninja à osé défié Chuck Norris. Maintenant on l'appelle Franklin.
 ",9.24 / 10 
8,"
        Les ennemis de Chuck Norris lui disent souvent d'aller au diable. Le Diable aimerait bien qu'ils arrêtent.
 ",9.24 / 10 
9,"
        Chuck Norris ne se masturbe jamais. Chuck Norris est inébranlable.
 ",9.23 / 10 
10,"
        Un jour un mec a refuser de filer une clope à Chuck Norris. Depuis, on prévient sur tous les paquets que ""Fumer tue"".
 ",9.22 / 10 
11,"
        Un jour, les PowerRangers ont rencontré Chuck Norris. Maintenant on les appelle les Télétubbies.
 ",9.22 / 10 
12,"
        Si Chuck Norris avait joué dans ""il faut sauver le soldat Ryan"", le film se serait appelé ""il faut sauver l'armée allemande"".
 ",9.21 / 10 
13,"
        Quand Chuck Norris lance une pièce, elle fait toujours pile: personne ne fait face à Chuck Norris!
 ",9.2 / 10 
14,"
        Chuck Norris est le seul homme à posséder une bible dédicacée.
 ",9.2 / 10 
15,"
        Chuck Norris peut faire rentrer 3 litres d'eau dans une bouteille d'un litre. En tassant bien.
 ",9.18 / 10 
16,"
        Chuck Norris peut se souvenir du futur.
 ",9.18 / 10 
17,"
        chuck norris a joué au roi du silence avec un muet... et il a gagné
 ",9.18 / 10 
18,"
        Certains disent : ""La violence ne résout rien""
Chuck Norris leur répond ""C'est que t'as pas tapé assez fort""
 ",9.18 / 10 
19,"
        Un jour, Chuck Norris a courru si vite qu'il a failli se rentrer dedans.
 ",9.18 / 10 
20,"
        Un jour, un gaulois a cru qu'il pouvait attaquer Chuck Norris après avoir bu de la potion magique
Il s'appelait Paraplégix
 ",9.16 / 10 
21,"
        Chuck Norris à réussi à trouver la page 404
 ",9.16 / 10 
